DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
02.12:59:28,990,0.0,1.3781,0.0,33048,14940,8587,6353,1.3111,0.0,33984,29797,33.656,95.432,84.2,49019,46269,32869,531,0,0,19781,179.7,0.0
02.12:59:38,1000,0.0,1.3774,0.0,33179,14933,8595,6338,1.3111,0.0,34004,29847,33.656,95.432,84.2,49022,46269,33001,535,0,0,19781,179.7,0.0
02.12:59:48,1010,0.0,1.3788,0.0,33215,14961,8601,6360,1.3097,0.0,34023,29798,33.656,95.431,84.2,49022,46268,32977,524,0,0,19781,179.7,0.0
02.12:59:58,1020,0.0,1.3788,0.0,33177,14941,8603,6338,1.3097,0.0,34016,29816,33.656,95.432,84.2,49026,46267,33006,528,0,0,19781,176.6,0.0
02.13:00:08,1030,0.0,1.3781,0.0,28746,14951,8609,6342,1.3111,0.0,34004,29810,33.656,95.431,84.2,49025,46267,32951,526,0,0,19781,179.7,0.0
02.13:00:18,1040,0.0,1.3781,0.0,33116,14937,8587,6350,1.3097,0.0,34009,29800,33.656,95.431,84.2,49018,46259,32972,530,0,0,19781,176.6,0.0
02.13:00:28,1050,0.0,1.3781,0.0,33100,14948,8601,6347,1.3097,0.0,34025,29830,33.656,95.432,84.2,49025,46258,32951,532,0,0,19781,176.6,0.0
02.13:00:38,1060,0.0,1.3788,0.0,33038,14945,8603,6342,1.3111,0.0,34035,29835,33.656,95.431,84.2,49030,46266,32998,543,0,0,19781,182.8,0.0
02.13:00:48,1070,0.0,1.3781,0.0,33352,14952,8607,6345,1.3111,0.0,34003,29832,33.656,95.432,84.2,49019,46265,32942,543,0,0,19781,179.7,0.0
02.13:00:58,1080,0.0,1.3781,0.0,28674,14972,8623,6349,1.3097,0.0,34048,29833,33.656,95.431,84.2,49041,46257,33018,521,0,0,19781,179.7,0.0
02.13:01:08,1090,0.0,1.3774,0.0,28931,14969,8607,6362,1.3097,0.0,33996,29816,33.656,95.431,84.2,49019,46264,32947,544,0,0,19781,179.7,0.0
02.13:01:18,1100,0.0,1.3788,0.0,29186,14972,8616,6356,1.3111,0.0,34020,29803,33.656,95.431,84.2,49025,46272,32972,525,0,0,19781,179.7,0.0
02.13:01:28,1110,0.0,1.3781,0.0,29242,14968,8609,6359,1.3097,0.0,33998,29817,33.656,95.431,84.2,49022,46264,32941,524,0,0,19781,179.7,0.0
02.13:01:38,1120,0.0,1.3781,0.0,33185,14944,8583,6361,1.3097,0.0,33996,29819,33.656,95.43,84.2,49015,46272,32967,524,0,0,19781,179.7,0.0
02.13:01:48,1130,0.0,1.3788,0.0,33238,14937,8592,6345,1.3097,0.0,34004,29809,33.688,95.431,84.2,49015,46271,32981,532,0,0,19781,182.8,0.0
02.13:01:58,1140,0.0,1.3768,0.0,33296,14967,8606,6361,1.3097,0.0,34005,29790,33.656,95.431,84.2,49020,46263,32969,530,0,0,19781,179.7,0.0
02.13:02:08,1150,0.0,1.3788,0.0,34958,14947,8590,6357,1.3097,0.0,33999,29809,33.656,95.431,84.2,49020,46255,32911,527,0,0,19781,179.7,0.0
02.13:02:18,1160,0.0,1.3781,0.0,29127,14968,8632,6336,1.3111,0.0,34027,29831,33.656,95.431,84.2,49028,46262,32975,534,0,0,19781,179.7,0.0
02.13:02:28,1170,0.0,1.3788,0.0,29081,14964,8603,6361,1.3111,0.0,34016,29802,33.656,95.431,84.2,49018,46262,32932,524,0,0,19781,179.7,0.0
02.13:02:38,1180,0.0,1.3788,0.0,29237,14944,8612,6332,1.3097,0.0,34024,29804,33.656,95.431,84.2,49021,46262,33028,530,0,0,19781,179.7,0.0
02.13:02:48,1190,0.0,1.3788,0.0,29249,14967,8617,6350,1.3097,0.0,34034,29802,33.656,95.43,84.2,49031,46262,33027,518,0,0,19781,179.7,0.0
02.13:02:58,1200,0.0,1.3781,0.0,28746,14951,8603,6348,1.3111,0.0,34018,29797,33.656,95.431,84.2,49023,46270,32970,534,0,0,19781,179.7,0.0
02.13:03:08,1210,0.0,1.3781,0.0,33196,14959,8601,6358,1.3097,0.0,34009,29797,33.656,95.431,84.2,49008,46262,32915,522,0,0,19781,179.7,0.0
02.13:03:18,1220,0.0,1.3788,0.0,33821,14962,8617,6345,1.3097,0.0,33975,29783,33.656,95.432,84.2,49009,46261,32887,545,0,0,19781,176.6,0.0
02.13:03:28,1230,0.0,1.3788,0.0,28567,14947,8576,6371,1.3111,0.0,34019,29821,33.656,95.431,84.2,49017,46254,32983,526,0,0,19781,176.6,0.0
02.13:03:38,1240,0.0,1.3795,0.0,29151,14950,8611,6339,1.3111,0.0,34040,29805,33.656,95.431,84.2,49018,46269,33040,530,0,0,19781,176.6,0.0
02.13:03:48,1250,0.0,1.3795,0.0,29208,14967,8621,6346,1.3111,0.0,34038,29822,33.688,95.431,84.2,49019,46269,32988,537,0,0,19781,182.8,0.0
02.13:03:58,1260,0.0,1.3781,0.0,33250,14966,8619,6347,1.3111,0.0,34022,29798,33.656,95.431,84.2,49013,46261,32946,525,0,0,19781,182.8,0.0
02.13:04:08,1270,0.0,1.3781,0.0,34926,14955,8596,6359,1.3111,0.0,34007,29797,33.656,95.432,84.2,49025,46253,32907,527,0,0,19781,179.7,0.0
